西媒曝阿扎尔确定无缘国家德比 因伤缺席4-6周,北京时间12月5日，西班牙媒体《科贝电台》透露，皇家马德里球星阿扎尔将错过12月18日进行的国家德比。此前皇马在官方通告中称：阿扎尔遭遇了右腿腓骨的伤病。在欧冠对阵巴黎圣日耳曼的比赛中，阿扎尔突破时被同胞莫尼耶绊倒。赛后第一时间检查，显示阿扎尔将因伤休息10天左右。但据《科贝电台》最新消息显示，阿扎尔的伤情比预期更加严重，将伤缺4-6周。本赛季首回合西班牙国家德比将在北京时间12月19日凌晨3时进行，皇马客场挑战巴萨。而阿扎尔将在1月8日的西班牙超级杯，与瓦伦西亚的比赛中回归。（安然是正太）
幸好足球不是加减法 不然索帅怎么可能赢穆帅呢？,索帅的曼联，怎么可能赢穆帅的热刺呢？至少从赛前的气氛来看，情势好像是这样的：索帅的曼联接连战平升班马，一片愁云惨雾，一堆耻辱纪录；穆帅的热刺豪取三连胜，何其酣畅淋漓，何其所向披靡。再加上人们对曼联和热刺的实力认知，似乎还没开打，索帅的球队就已经凶多吉少了，不输球就算不错——好在，足球不是这么简单的加减法，这也正是集体项目的有趣之处。熟悉红魔这赛季情况的球迷们都清楚，曼联目前这个积分不是因为打不了精锐。关注了穆帅三场热刺比赛的球迷们也能看明白，热刺的情况绝不是简单一句三连胜就能概括的。相对而言守强攻弱的情况下，曼联并没那么容易输，而且一旦先进球，给热刺带来的麻烦可不是奥林匹亚科斯能比的。更何况曼联这帮小年轻未必稳定，但论气势球，那可是谁也不服。一个多月之前，索帅同样处于风雨飘摇的位置时，就有观点认为，惨败利物浦有可能让索帅下课。但在那个时候，你也应该能看出来，曼联惨败几乎是没有可能的，因为保证下限的防守摆在那里，队内气氛也没出问题。而在大逆转奥林匹亚科斯之时，也早有分析指出了热刺存在的相当程度的隐患。这种趋势性的东西，并不会因为个别比赛结果就显著改变。对，就是趋势。每一场足球比赛之中可能会有其变数，但最忌讳的就是因此去急着肯定或者否定某种趋势。就像索帅赛后说一波连胜就能满血复活，你也得谨慎地考察一下，因为赢了热刺和一波连胜并没多大关联。同理，热刺这场比赛退了之前的“虚火”，也没必要大惊小怪一棍子打死。真跟中下游球队打，目前的热刺还是比曼联更有办法一些的。上周末尤文的比赛之前，一看赫迪拉没首发，就有拥趸表示舒服了，要大胜了。的确，他这赛季表现不理想，但尤文中场又有多少更好的方案呢？足球要真是这么简单的加减法倒好了，不上谁谁就能赢球，那让我带也知道怎么赢。因为处理球能力不行被有些球迷黑得体无完肤的马图伊迪也没首发，结果他不在，尤文前场逼抢形同虚设，数次轻松被人打穿。投资学中有一种非常重要的方法叫做基本面分析，这个说法也可以套用到绿茵场上，即每支球队都有其基本面，这是与他们的阵容配置、常用的人员安排和战术打法密切相关的，具备相当的稳定性和可靠性。比如曼联长于反击而不擅长落阵地，切尔西阵地战办法更多但防守端不够稳定，巴萨时常要担心覆盖面和运动能力，马竞有前场配合却没人终结……当这种基本条件落位的时候，有时候教练能做的改变是有限的。比如你会抱怨萨里的尤文踢得难看，但当球队里几乎没人有带球能力的时候，除了传来传去还能怎么办呢？也正是基于这种基本面，你知道拉什福德在这样的场合会有很重要的作用，这是和他的技术特点、比赛局面以及之前比赛的例子密切相关的。如果你是一个对曼联本赛季趋势有着很好的判断的球迷，就知道这场胜利并没有那么不可思议，胜利之后也不会就是一片光明。这其实就是足球内在的某种规律，看球久了，理解得深了，自然会更了解这种规律一些。足球不是加减法，也体现在进攻球员或者明星球员的堆砌上。如果巴萨排出MSG组合，自然需要格列兹曼在防守上做一些牺牲；萨里至今都拒绝多试C罗-迪巴拉-伊瓜因三叉戟，是因为只要这么上就会立刻失去场上平衡。甚至包括谈论梅罗的国家队队友时也是，听起来阿根廷明星云集，葡萄牙名气不大，但葡萄牙这几年始终才是整体性更强、更平衡的那个。平衡，趋势，基本面，这样的说法显然是不如超神、天坑、毒瘤来得吸引人，但这才是判断足球比赛大体进程的正确方式。就像2018年世界杯的时候，没打阿根廷之前煽乎没怎么听过的冰岛是弱队，打平了阿根廷立马又觉得冰岛好强剑指出线，结果两次判断都错误。这就是信息了解得不够，又只会进行简单的加减乘除推演，根本没有把握住实质性的规律。换言之，曼联原本就没有媒体渲染得那么惨，热刺也没有面上的三连胜那样美好。这场比赛曼联有戏而热刺不好打，对两队够了解的双方拥趸应该是能判断到的，对比赛的走势和结果也不会太过意外。如果是这样的话，恭喜你，你对这场比赛的判断是基于长线的分析和理解，而不只是做做加减乘除，拿着夸张的数据和报道看热闹的。正因为看长线而不是一场论，所以你也会知道，不必大喜过望或者破口大骂。当这场比赛硝烟散尽，那些惊天动地的报道过了热度之后，曼联和热刺各自的路都还长呢。（新浪体育 华迪维亚 专栏）新浪国际足球原创专栏：点击进入作者其他文章：点击进入作者专栏梅西金球险胜范戴克 真靠那些不懂球的记者？C罗开始卖情怀时 梅西有多强恰恰最不用金球证明破荒！救主！但你发现没 C罗像个普通球员了|gif球场老大爷奥义！跑不动的伊瓜因 凭什么虐我|gif
穆帅当世第一人蜜！把穆帅纹遍全身 若泽让我融化,今年62岁的薇薇-博迪科特，一定是这个世界上最痴迷穆里尼奥的人之一，她在自己身上纹满了和穆帅有关的图案。这位来自英格兰莱斯特希尔的退休教务助理，这些年来一直追随穆里尼奥，并且在自己身上拥有了38处关于穆帅的文身（最新一处是在穆帅入主热刺后所做），花费了超过2000英镑（约合一万八千元人民币）来完成这些作品。薇薇说：“这几年来，我确信我花了几千英镑，来做若泽-穆里尼奥的文身，但这绝对是值得的，因为我爱他。我还想花更多钱，事实上，我已经在考虑下一处做什么了。”薇薇的第一处穆帅文身，是在2017年穆帅入主曼联后完成的，之后就一发而不可收。她说：“若泽很英俊，很聪明，我喜欢他作为主教练达成的成就，他绝对让我融化了。”“我会把若泽-穆里尼奥放在所有主教练之上，包括瓜迪奥拉，唯一接近穆帅的是波切蒂诺，但他也没法和若泽比。看若泽执教一支球队，太性感了，我打赌他闻起来也会很美妙。”“无论若泽去哪里，我都会追随。我关注他去曼联，我认为在那里他受到了糟糕的对待，那不是若泽的错，而是俱乐部的问题，因为一切都在索尔斯克亚身上重演了。从更大的蓝图去看，曼联现在实际上更糟糕了。”“当他得到热刺的工作，我为他欣慰，我去买了所有的报纸，阅读每一篇关于他的网上报道，我就是没够。”当被问到她的丈夫会不会因此吃醋时，薇薇说：“他喜欢我这么做，他也爱若泽-穆里尼奥。”（皮特洛赫里）
曼联出价比皇马高也没用 当年这张王牌只想投皇马,据里昂俱乐部主席奥拉斯透露，当年曼联对卡里姆-本泽马的报价是高于皇马的，但法国前锋一心想去伯纳乌。2009年，本泽马是欧洲最炙手可热的新星之一，之前两个赛季在法甲进球37个。弗格森曾想把本泽马带到老特拉福德，但法国人只希望去皇马。奥拉斯说：“当卡里姆决定离开里昂的时候，我们有两份报价：曼联和皇马。”“卡里姆来找我，我们之间的关系是彼此信任的，他告诉我：‘我的梦想是为皇马踢球’。因此他去了皇马（转会费3500万英镑），虽然皇马的报价比曼联要少。”加盟皇马至今，本泽马获得了两次西甲冠军、两次国王杯、四次欧冠，另外还有两次西班牙超级杯、三次欧洲超级杯和四次世俱杯冠军。（皮特洛赫里）
兰帕德欢呼切尔西找回王牌：他不在时当然想他,切尔西主帅兰帕德盛赞伤愈复出的蓝军中锋亚伯拉罕，并表示不必为后者设立进球数目标。22岁的亚伯拉罕本场对维拉打进了个人本赛季第11个英超进球，还助攻芒特打进制胜球。上赛季他租借到维拉效力，40场打进26球，双方有着深厚感情，亚伯拉罕破门后没有庆祝，而本场结束后，做客到斯坦福桥的维拉球迷唱起了亚伯拉罕的名字。“每天在更衣室里，亚伯拉罕的存在感都在增加，靠的是他的激情和胜利的欲望，”兰帕德说，“他现在已经接近联赛射手榜的首位了，他展示出了各方面能力，撕扯防线，带领起我们的压迫。”“当然，如果一个球员势头特别好，当他不在时你会想念他，而今天他复出，一下子就找回了之前的感觉。”兰帕德还表示，不会给亚伯拉罕设立进球目标。“不，我想我不需要，他是一个饥渴的小伙子。我从不设定目标，不必造空中楼阁。你能说的是，他们每场比赛，能否继续进球，能否保持饥渴，能为全队做些什么。目前他做到了，也在进球。”比赛最后阶段，亚伯拉罕似乎再次受伤，一瘸一拐的离场，但兰帕德表示问题不大。“看起来并不是太糟糕，所以我觉得他没事。”（Kata）
索帅盛赞曼联阵中新王牌 当年那支红魔他也能立足,曼联在主场2比1击败热刺，主帅索尔斯克亚点名表扬了红魔中场麦克托米奈，称后者的状态简直是“不可阻挡”。麦克托米奈上个月因为脚踝伤情休阵，如今回归后给了球队极大的助推。索尔斯克亚说：“你几乎可以说，他目前是不可阻挡的。他带给我们在对抗上的帮助，他在中场带给我们的领导力，也让弗雷德被解放了。”“我想弗雷德今天也很出色，一流的，他们是很好的搭档。”“麦克托米奈昨天开始训练，只是和预备队一起的轻度练习，但他是一个强悍的小伙子。他本场的表现绝对顶级，这也是你所预期的，每天在训练里，你都看到这个小伙子一切都干的很好，准备的很好，你是希望自己队里有这类球员的。”“他如此职业，他不惧怕任何大牌，他只想尽自己努力达到最高标准，我在曼联想要的就是这样的人。”“当我在曼联效力时，那个阵容，他也很合适，他可以很好的融入那个阵容，因为他来自青训，他是自己人，他是当地人，他知道曼联意味着什么。”（皮特洛赫里）
利物浦“非常规”胜利更美妙 克洛普：这感觉最棒,利物浦在默西塞德德比中5比2大胜埃弗顿，红军主帅克洛普表示，看到一些非主力球员发挥出色，这种感觉是最棒的。本场替代萨拉赫和菲尔米诺首发的两名球员，奥里吉（2球）与沙奇里，都取得了进球，前者已经在过往4场安菲尔德德比战中打进5球。克洛普说，非主力球员闪光，这对球队是一个极大的帮助。“作为主教练，你肯定希望如此，小伙子们确实做到了，作为主教练，这是你能得到的最美好的感觉。”“这并不让我意外，但我没料到会这么好，真的很优秀，这帮助了球队。小伙子们现在知道，我可以很容易的告诉他们，他们是多么出色。当他们打出这样的表现，对于全队来说都是非常好的。”利物浦在15轮英超中拿下14胜1平（45分里拿到了43分）的佳绩，实在令人惊叹，但克洛普表示，重要的是向前看。“这只是个数字，43分，但等我们打伯恩茅斯时，想要的数字是3（分），对手对他们的处境不满（伯恩茅斯最近四连败），他们想反弹，而我们必须做好准备。”“这是我现在唯一考虑的，数据等到赛季后看会很酷，但在赛季中，我不感兴趣。”（Kata）
还能火几年 尤文主管：C罗完蛋了？别逗我笑了,据尤文图斯体育主管法比奥·帕拉蒂奇称，克里斯蒂亚诺·罗纳尔多“比以前更强壮地回来了”。帕拉蒂奇对有关这位经验丰富的前锋在错失金球奖后“完蛋了”的说法嗤之以鼻。C·罗纳尔多选择不参加在巴黎举行的金球奖颁奖典礼，而是选择在米兰的足球盛会上露面，这位尤文球星在那里获得了意甲联赛的奖项。C·罗纳尔多获得了意甲最佳球员奖，他上赛季在联赛中攻入21球，帮助尤文赢得了他们的第八个联赛冠军。帕拉蒂奇被问到C·罗纳尔多最近的状态是否意味着这位34岁的球员的能力在下降，在过去的5场比赛中他仅 为斑马军团进了一个球。尤文主席拒绝了这种说法，他告诉都灵体育报：“克里斯蒂亚诺完了？别逗我笑。C·罗纳尔多的膝伤让他无法发挥出最佳状态，但现在他比以前更强大了。”在谈到金球奖时，帕拉蒂奇补充道：“对我来说，C·罗纳尔多上个赛季也当之无愧，他在欧冠中打进了很多关键的进球。”C·罗纳尔多本赛季也应该获得金球奖。他是个好胜的动物。我们和他一起做了很好的投资，他提高了我们所有人。我们必须接受他的饥渴，这是他区别于其他人的地方。他会留在尤文图斯吗？当然。”帕拉蒂奇还借此机会对马泰斯·德里赫特大加赞扬，因为他赢得了科帕奖，该奖被授予21岁以下的最佳球员。德里赫特在7月份以7500万欧元的价格从阿贾克斯转会到了尤文图斯，帕拉蒂奇认为这是俱乐部最好的交易之一。“我越看他，就越觉得他是个怪物。他属于另一个类别。”帕拉蒂奇说：“你知道20岁在大俱乐部首发意味着什么吗？由于基耶利尼的受伤，他很快就加入了比赛。他立即承担了巨大的责任，这太疯狂了。他是我们最好的年轻球员买卖。他将定义一个时代，我对此深信不疑。”
2019洲际射手榜：C罗20球登顶 梅西仅列第13,C罗在2019年经历了状态起伏，但在洲际赛场上，C罗仍然进球如麻。据统计，截止到11月，C罗成为2019年度洲际射手榜第一名。据 IFFHS（国际足球历史与统计联合会）统计，2019年（截止到11月）足坛球员代表 国家队时在国际A级赛事的进球数，以及在球员代表俱乐部时在洲际赛事的进球数之和，最高为20球，这一数组归属于C罗。而英格兰+热刺队长凯恩以19球排名第二，斯特林、莱万、劳塔罗、吉鲁都进入前十，梅西则排名第13，孙兴慜则排名第15。前20名完整榜单：1、C罗：20球（国家队14球，俱乐部6球）2、凯恩：19球（国家队12球，俱乐部7球）3、阿里-马布霍特：17球（国家队17球，俱乐部0球）4、斯特林：17球（国家队8球，俱乐部9球）5、阿里-阿尔莫兹：16球（国家队15球，俱乐部1球）6、莱万多夫斯基：16球（国家队6球，俱乐部10球）7、奥马尔-索马：15球（国家队8球，俱乐部7球）8、劳塔罗：14球（国家队8球，俱乐部6球）9、吉鲁：14球（国家队6球，俱乐部8球）10、绍穆罗多夫：13球（国家队13球，俱乐部0球）11、格纳布里：13球（国家队9球，俱乐部4球）12、阿兹蒙：13球（国家队8球，俱乐部5球）13、梅西：13球（国家队5球，俱乐部8球）14、法伊萨尔：12球（国家队6球，俱乐部6球）15、孙兴慜：12球（国家队3球，俱乐部9球）16、米特罗维奇：11球（国家队11球，俱乐部0球）16、扎哈维：11球（国家队11球，俱乐部0球）18、卡尔塔克：11球（国家队10球，俱乐部1球）19、久巴：11球（国家队9球，俱乐部2球）20、博内德贾：11球（国家队8球，俱乐部3球）20、希门尼斯：11球（国家队8球，俱乐部3球）20、维纳尔杜姆：11球（国家队8球，俱乐部3球）（长歌）
梅西：FIFA年度最佳为何选马内？我真爱看他踢球,梅西夺得个人第六座金球奖，得奖后，梅西表达了自己对马内的欣赏。在接受采访时，记者问到梅西为何在FIFA评选最佳球员时将票投给了马内，梅西回答称：“今年有很多很多出色的球员，但我投了马内，这是因为看他踢球我真的很享受，他和利物浦一起经历了一个伟大的赛季。”此前在FIFA票选年度最佳球员时，作为阿根廷队长的梅西，将第一票、第二票和第三票分别投给马内、C罗和德容。马内也感谢了梅西：“ 梅西为你投票的感觉真是太棒了！ 我有投票给梅西吗？当然了。梅西排在范戴克之后吗？不，范戴克很伟大，也很出色，但这里我得和他说抱歉了，梅西必须排在前面。”（长歌）
